,SOYBEANS,,,,,,,,,
1960M01,94.00,,,,,,,,,
1960M02,91.00,,,,,,,,,
1960M03,92.00,,,,,,,,,
1960M04,93.00,,,,,,,,,
1960M05,93.00,,,,,,,,,
1960M06,91.00,,,,,,,,,
1960M07,92.00,,,,,,,,,
1960M08,93.00,,,,,,,,,
1960M09,92.00,,,,,,,,,
1960M10,88.00,,,,,,,,,
1960M11,90.00,,,,,,,,,
1960M12,93.00,,,,,,,,,
1961M01,102.00,,,,,,,,,
1961M02,114.00,,,,,,,,,
1961M03,121.00,,,,,,,,,
1961M04,129.00,,,,,,,,,
1961M05,122.00,,,,,,,,,
1961M06,114.00,,,,,,,,,
1961M07,112.00,,,,,,,,,
1961M08,101.00,,,,,,,,,
1961M09,98.00,,,,,,,,,
1961M10,98.00,,,,,,,,,
1961M11,100.00,,,,,,,,,
1961M12,101.00,,,,,,,,,
1962M01,101.41,,,,,,,,,
1962M02,100.59,,,,,,,,,
1962M03,102.79,,,,,,,,,
1962M04,104.44,,,,,,,,,
1962M05,103.62,,,,,,,,,
1962M06,102.24,,,,,,,,,
1962M07,100.86,,,,,,,,,
1962M08,95.35,,,,,,,,,
1962M09,95.35,,,,,,,,,
1962M10,97.00,,,,,,,,,
1962M11,100.59,,,,,,,,,
1962M12,102.24,,,,,,,,,
1963M01,107.47,,,,,,,,,
1963M02,109.96,,,,,,,,,
1963M03,109.13,,,,,,,,,
1963M04,107.20,,,,,,,,,
1963M05,109.13,,,,,,,,,
1963M06,108.30,,,,,,,,,
1963M07,108.58,,,,,,,,,
1963M08,105.82,,,,,,,,,
1963M09,108.58,,,,,,,,,
1963M10,116.84,,,,,,,,,
1963M11,116.02,,,,,,,,,
1963M12,114.09,,,,,,,,,
1964M01,116.84,,,,,,,,,
1964M02,112.71,,,,,,,,,
1964M03,110.51,,,,,,,,,
1964M04,106.65,,,,,,,,,
1964M05,104.72,,,,,,,,,
1964M06,104.44,,,,,,,,,
1964M07,102.24,,,,,,,,,
1964M08,104.44,,,,,,,,,
