Date,Last,Settlement Price,Change,% Change,Bid,Ask,Open Interest,Volume
02/18/2020,8.932,8.938,0.000,0.00,8.930,8.932,"210,942.000","106,223.000"
02/14/2020,8.927,8.938,-0.025,-0.28,8.927,8.930,"232,144.000","130,575.000"
02/13/2020,8.958,8.962,0.037,0.42,8.955,8.960,"250,088.000","193,428.000"
02/12/2020,8.920,8.925,0.078,0.88,8.920,8.922,"277,418.000","163,370.000"
02/11/2020,8.850,8.847,0.005,0.06,8.850,8.852,"298,204.000","134,299.000"
02/10/2020,8.850,8.842,0.023,0.26,8.847,8.852,"321,410.000","145,123.000"
02/07/2020,8.828,8.820,0.010,0.11,8.825,8.830,"339,529.000","124,917.000"
02/06/2020,8.830,8.810,0.010,0.11,8.828,8.830,"341,984.000","110,541.000"
02/05/2020,8.800,8.800,0.005,0.06,8.797,8.800,"342,728.000","75,259.000"
02/04/2020,8.795,8.795,0.025,0.29,8.795,8.797,"344,752.000","102,451.000"
02/03/2020,8.757,8.770,0.045,0.52,8.755,8.757,"340,996.000","138,975.000"
01/31/2020,8.727,8.725,-0.037,-0.43,8.722,8.730,"341,419.000","88,324.000"
01/30/2020,8.760,8.762,-0.168,-1.88,8.760,8.762,"342,322.000","123,089.000"
01/29/2020,8.927,8.930,-0.020,-0.22,8.927,8.930,"346,495.000","77,353.000"
01/28/2020,8.955,8.950,-0.023,-0.25,8.953,8.955,"344,827.000","86,749.000"
01/27/2020,8.975,8.972,-0.048,-0.53,8.970,8.975,"342,878.000","107,839.000"
01/24/2020,9.023,9.020,-0.075,-0.82,9.015,9.025,"337,599.000","77,349.000"
01/23/2020,9.087,9.095,-0.042,-0.47,9.085,9.090,"333,228.000","98,543.000"
01/22/2020,9.140,9.137,-0.023,-0.25,9.140,9.142,"332,758.000","92,153.000"
01/21/2020,9.155,9.160,-0.137,-1.48,9.153,9.158,"329,219.000","119,955.000"
01/17/2020,9.290,9.297,0.057,0.62,9.288,9.290,"332,383.000","90,936.000"
01/16/2020,9.245,9.240,-0.048,-0.51,9.243,9.245,"339,707.000","101,998.000"
01/15/2020,9.295,9.288,-0.135,-1.43,9.292,9.295,"339,513.000","119,742.000"
01/14/2020,9.415,9.422,0.000,0.00,9.415,9.420,"344,543.000","84,463.000"
01/13/2020,9.413,9.422,-0.038,-0.40,9.410,9.413,"345,579.000","71,046.000"
01/10/2020,9.458,9.460,0.025,0.26,9.455,9.465,"346,275.000","104,310.000"
01/09/2020,9.425,9.435,-0.037,-0.40,9.425,9.430,"343,225.000","99,401.000"
01/08/2020,9.467,9.472,0.033,0.34,9.467,9.470,"347,386.000","96,902.000"
01/07/2020,9.440,9.440,-0.008,-0.08,9.438,9.440,"349,915.000","73,587.000"
01/06/2020,9.443,9.448,0.033,0.35,9.443,9.445,"352,441.000","86,233.000"
01/03/2020,9.413,9.415,-0.148,-1.54,9.413,9.413,"359,055.000","104,296.000"
01/02/2020,9.555,9.563,0.007,0.08,9.550,9.555,"359,898.000","87,368.000"
12/31/2019,9.560,9.555,0.030,0.31,9.555,9.560,"362,098.000","68,892.000"
12/30/2019,9.525,9.525,0.110,1.17,9.525,9.528,"347,724.000","123,925.000"
12/27/2019,9.422,9.415,-0.050,-0.53,9.420,9.422,"340,301.000","106,606.000"
12/26/2019,9.460,9.465,0.100,1.07,9.460,9.460,"334,995.000","55,766.000"
12/24/2019,9.370,9.365,0.025,0.27,9.365,9.375,"91,109.000","45,245.000"
12/23/2019,9.328,9.340,0.057,0.62,9.328,9.330,"117,068.000","100,647.000"
12/20/2019,9.278,9.283,0.038,0.41,9.278,9.288,"139,174.000","88,295.000"
12/19/2019,9.250,9.245,-0.040,-0.43,9.248,9.252,"150,437.000","82,259.000"
12/18/2019,9.273,9.285,-0.003,-0.03,9.273,9.275,"164,479.000","98,044.000"
12/17/2019,9.278,9.288,0.068,0.73,9.275,9.280,"188,439.000","137,658.000"
12/16/2019,9.208,9.220,0.145,1.60,9.208,9.210,"204,713.000","108,734.000"
12/13/2019,9.068,9.075,0.092,1.03,9.068,9.073,"223,926.000","167,011.000"
12/12/2019,8.958,8.983,0.047,0.53,8.958,8.960,"241,265.000","129,658.000"
12/11/2019,8.922,8.935,-0.077,-0.86,8.922,8.925,"273,542.000","154,948.000"
12/10/2019,9.002,9.012,0.040,0.45,9.002,9.005,"294,225.000","100,653.000"
12/09/2019,8.972,8.972,0.077,0.87,8.970,8.975,"307,811.000","179,217.000"
12/06/2019,8.890,8.895,0.053,0.59,8.887,8.890,"341,278.000","159,565.000"
12/05/2019,8.850,8.842,0.063,0.71,8.847,8.850,"340,684.000","108,171.000"
12/04/2019,8.783,8.780,0.070,0.80,8.778,8.783,"338,090.000","102,632.000"
12/03/2019,8.727,8.710,0.005,0.06,8.722,8.727,"342,274.000","111,142.000"
12/02/2019,8.725,8.705,-0.063,-0.71,8.722,8.725,"336,043.000","125,372.000"
11/29/2019,8.765,8.767,-0.052,-0.60,8.765,8.767,"333,417.000","66,997.000"
11/27/2019,8.820,8.820,-0.023,-0.25,8.820,8.823,"332,450.000","88,224.000"
11/26/2019,8.845,8.842,-0.083,-0.92,8.845,8.847,"323,605.000","104,621.000"
11/25/2019,8.922,8.925,-0.045,-0.50,8.922,8.925,"320,380.000","77,560.000"
11/22/2019,8.958,8.970,-0.040,-0.44,8.958,8.960,"327,398.000","84,251.000"
11/21/2019,9.002,9.010,-0.040,-0.44,9.002,9.005,"326,888.000","97,029.000"
11/20/2019,9.045,9.050,-0.065,-0.71,9.045,9.047,"326,276.000","118,388.000"
11/19/2019,9.115,9.115,0.012,0.14,9.113,9.115,"327,089.000","90,805.000"
11/18/2019,9.105,9.102,-0.080,-0.87,9.102,9.105,"324,508.000","83,364.000"
11/15/2019,9.180,9.182,0.015,0.16,9.180,9.182,"324,554.000","80,816.000"
11/14/2019,9.170,9.167,0.015,0.16,9.165,9.170,"323,943.000","88,541.000"
11/13/2019,9.153,9.153,-0.017,-0.19,9.150,9.153,"324,223.000","99,250.000"
11/12/2019,9.167,9.170,0.000,0.00,9.167,9.170,"326,212.000","80,855.000"
11/11/2019,9.172,9.170,-0.140,-1.50,9.172,9.172,"323,050.000","116,682.000"
11/08/2019,9.302,9.310,-0.055,-0.59,9.300,9.305,"320,795.000","132,229.000"
11/07/2019,9.363,9.365,0.090,0.97,9.363,9.365,"326,252.000","117,907.000"
11/06/2019,9.275,9.275,-0.068,-0.72,9.275,9.278,"323,861.000","90,384.000"
11/05/2019,9.342,9.342,-0.038,-0.40,9.342,9.345,"324,040.000","85,124.000"
11/04/2019,9.380,9.380,0.012,0.13,9.380,9.382,"325,186.000","93,571.000"
11/01/2019,9.368,9.368,0.045,0.48,9.363,9.368,"321,472.000","101,499.000"
10/31/2019,9.320,9.323,0.017,0.19,9.318,9.323,"325,027.000","121,679.000"
10/30/2019,9.310,9.305,-0.030,-0.32,9.307,9.310,"315,293.000","168,057.000"
10/29/2019,9.325,9.335,0.127,1.38,9.325,9.328,"304,285.000","204,463.000"
