DATE,IA_PRCP,IL_PRCP,MN_PRCP,TMAX_IA,TMAX_IL,TMAX_MN,TMIN_IA,TMIN_IL,TMIN_MN,Settlement Price,IA_prcp_lag_1,IL_prcp_lag_1,MN_prcp_lag_1,IA_TMIN_lag_1,IL_TMIN_lag_1,MN_TMIN_lag_1,IA_TMIN_lag_360,IL_TMIN_lag_360,MN_TMIN_lag_360,IA_TMAX_lag_1,IL_TMAX_lag_1,MN_TMAX_lag_1,IA_TMAX_lag_360,IL_TMAX_lag_360,MN_TMAX_lag_360
1990-01-02,0.0,0.0,0.0,49.0,45.0,27.0,28.0,25.0,1.0,5.6129999999999995,,,,,,,,,,,,,,,
1990-01-03,0.0,0.0,0.0,45.0,49.0,32.0,35.0,32.0,19.0,5.672999999999999,0.0,0.0,0.0,28.0,25.0,1.0,,,,49.0,45.0,27.0,,,
1990-01-04,0.94,0.05,0.0,42.0,47.0,26.0,21.0,32.0,1.0,5.632999999999999,0.0,0.0,0.0,35.0,32.0,19.0,,,,45.0,49.0,32.0,,,
1990-01-05,0.0,0.0,0.0,40.0,38.0,20.0,18.0,16.0,11.0,5.645,0.94,0.05,0.0,21.0,32.0,1.0,,,,42.0,47.0,26.0,,,
1990-01-08,0.0,0.0,0.0,43.0,50.0,40.0,31.0,21.0,16.0,5.707000000000001,0.0,0.0,0.0,18.0,16.0,11.0,,,,40.0,38.0,20.0,,,
1990-01-09,0.02,0.0,0.0,47.0,55.0,42.0,34.0,46.0,22.0,5.705,0.0,0.0,0.0,31.0,21.0,16.0,,,,43.0,50.0,40.0,,,
1990-01-10,0.0,0.0,0.0,53.0,53.0,30.0,23.0,27.0,17.0,5.672999999999999,0.02,0.0,0.0,34.0,46.0,22.0,,,,47.0,55.0,42.0,,,
1990-01-11,0.0,0.0,0.0,46.0,52.0,50.0,33.0,32.0,29.0,5.6979999999999995,0.0,0.0,0.0,23.0,27.0,17.0,,,,53.0,53.0,30.0,,,
1990-01-12,0.0,0.0,0.0,34.0,48.0,30.0,20.0,32.0,9.0,5.655,0.0,0.0,0.0,33.0,32.0,29.0,,,,46.0,52.0,50.0,,,
1990-01-15,0.0,0.0,0.0,59.0,58.0,41.0,29.0,38.0,19.0,5.64,0.0,0.0,0.0,20.0,32.0,9.0,,,,34.0,48.0,30.0,,,
1990-01-16,0.0,0.0,0.0,61.0,68.0,36.0,38.0,53.0,16.0,5.58,0.0,0.0,0.0,29.0,38.0,19.0,,,,59.0,58.0,41.0,,,
1990-01-17,0.33,0.45,0.03,59.0,64.0,33.0,32.0,53.0,16.0,5.575,0.0,0.0,0.0,38.0,53.0,16.0,,,,61.0,68.0,36.0,,,
1990-01-18,0.0,0.0,0.01,35.0,57.0,26.0,28.0,35.0,13.0,5.608,0.33,0.45,0.03,32.0,53.0,16.0,,,,59.0,64.0,33.0,,,
1990-01-19,0.0,0.26,0.0,32.0,38.0,26.0,19.0,30.0,11.0,5.58,0.0,0.0,0.01,28.0,35.0,13.0,,,,35.0,57.0,26.0,,,
1990-01-22,0.0,0.0,0.0,48.0,61.0,38.0,28.0,39.0,17.0,5.545,0.0,0.26,0.0,19.0,30.0,11.0,,,,32.0,38.0,26.0,,,
1990-01-23,0.0,0.0,0.0,53.0,64.0,37.0,29.0,30.0,27.0,5.672999999999999,0.0,0.0,0.0,28.0,39.0,17.0,,,,48.0,61.0,38.0,,,
1990-01-24,0.0,0.0,0.0,47.0,65.0,38.0,28.0,29.0,28.0,5.66,0.0,0.0,0.0,29.0,30.0,27.0,,,,53.0,64.0,37.0,,,
1990-01-25,0.38,0.0,0.0,32.0,61.0,32.0,21.0,34.0,15.0,5.582000000000001,0.0,0.0,0.0,28.0,29.0,28.0,,,,47.0,65.0,38.0,,,
1990-01-26,0.0,0.0,0.0,43.0,53.0,27.0,14.0,24.0,13.0,5.585,0.38,0.0,0.0,21.0,34.0,15.0,,,,32.0,61.0,32.0,,,
1990-01-29,0.0,0.0,0.0,46.0,51.0,43.0,24.0,28.0,14.0,5.635,0.0,0.0,0.0,14.0,24.0,13.0,,,,43.0,53.0,27.0,,,
1990-01-30,0.0,0.0,0.0,46.0,56.0,45.0,24.0,33.0,-4.0,5.585,0.0,0.0,0.0,24.0,28.0,14.0,,,,46.0,51.0,43.0,,,
1990-01-31,0.0,0.0,0.0,55.0,58.0,15.0,14.0,21.0,-4.0,5.61,0.0,0.0,0.0,24.0,33.0,-4.0,,,,46.0,56.0,45.0,,,
1990-02-01,0.0,1.3,0.05,51.0,56.0,24.0,23.0,46.0,-8.0,5.597,0.0,0.0,0.0,14.0,21.0,-4.0,,,,55.0,58.0,15.0,,,
1990-02-02,0.09,0.53,0.0,28.0,48.0,4.0,20.0,38.0,-7.0,5.602,0.0,1.3,0.05,23.0,46.0,-8.0,,,,51.0,56.0,24.0,,,
1990-02-05,0.0,0.0,0.0,56.0,49.0,53.0,35.0,27.0,16.0,5.582000000000001,0.09,0.53,0.0,20.0,38.0,-7.0,,,,28.0,48.0,4.0,,,
1990-02-06,0.0,0.0,0.0,49.0,50.0,37.0,31.0,26.0,11.0,5.627999999999999,0.0,0.0,0.0,35.0,27.0,16.0,,,,56.0,49.0,53.0,,,
1990-02-07,0.04,0.0,0.0,55.0,56.0,42.0,32.0,32.0,11.0,5.6770000000000005,0.0,0.0,0.0,31.0,26.0,11.0,,,,49.0,50.0,37.0,,,
1990-02-08,0.0,0.0,0.0,59.0,67.0,47.0,42.0,35.0,23.0,5.648,0.04,0.0,0.0,32.0,32.0,11.0,,,,55.0,56.0,42.0,,,
1990-02-09,0.0,0.07,0.0,49.0,67.0,45.0,27.0,46.0,22.0,5.667999999999999,0.0,0.0,0.0,42.0,35.0,23.0,,,,59.0,67.0,47.0,,,
1990-02-12,0.0,0.0,0.0,71.0,67.0,37.0,33.0,28.0,24.0,5.653,0.0,0.07,0.0,27.0,46.0,22.0,,,,49.0,67.0,45.0,,,
1990-02-13,0.0,0.0,0.0,65.0,66.0,48.0,27.0,56.0,2.0,5.64,0.0,0.0,0.0,33.0,28.0,24.0,,,,71.0,67.0,37.0,,,
1990-02-14,0.0,0.08,0.0,27.0,63.0,9.0,19.0,33.0,0.0,5.667999999999999,0.0,0.0,0.0,27.0,56.0,2.0,,,,65.0,66.0,48.0,,,
1990-02-15,0.34,1.27,0.0,29.0,40.0,16.0,21.0,33.0,1.0,5.71,0.0,0.08,0.0,19.0,33.0,0.0,,,,27.0,63.0,9.0,,,
1990-02-16,0.02,0.0,0.18,30.0,41.0,20.0,16.0,35.0,13.0,5.6979999999999995,0.34,1.27,0.0,21.0,33.0,1.0,,,,29.0,40.0,16.0,,,
1990-02-20,0.0,0.0,0.0,36.0,45.0,25.0,7.0,27.0,-2.0,5.662000000000001,0.02,0.0,0.18,16.0,35.0,13.0,,,,30.0,41.0,20.0,,,
1990-02-21,0.0,0.0,0.0,49.0,60.0,46.0,24.0,23.0,13.0,5.71,0.0,0.0,0.0,7.0,27.0,-2.0,,,,36.0,45.0,25.0,,,
1990-02-22,0.22,0.33,0.0,43.0,65.0,44.0,32.0,46.0,20.0,5.68,0.0,0.0,0.0,24.0,23.0,13.0,,,,49.0,60.0,46.0,,,
1990-02-23,0.26,0.0,0.01,43.0,51.0,38.0,22.0,32.0,21.0,5.653,0.22,0.33,0.0,32.0,46.0,20.0,,,,43.0,65.0,44.0,,,
1990-02-26,0.0,0.0,0.0,45.0,42.0,23.0,18.0,27.0,-2.0,5.617000000000001,0.26,0.0,0.01,22.0,32.0,21.0,,,,43.0,51.0,38.0,,,
1990-02-27,0.0,0.0,0.0,42.0,54.0,43.0,28.0,35.0,9.0,5.615,0.0,0.0,0.0,18.0,27.0,-2.0,,,,45.0,42.0,23.0,,,
1990-02-28,0.0,0.0,0.0,39.0,50.0,30.0,17.0,32.0,10.0,5.665,0.0,0.0,0.0,28.0,35.0,9.0,,,,42.0,54.0,43.0,,,
1990-03-01,0.0,0.0,0.0,49.0,47.0,46.0,20.0,21.0,14.0,5.672999999999999,0.0,0.0,0.0,17.0,32.0,10.0,,,,39.0,50.0,30.0,,,
1990-03-02,0.0,0.0,0.0,62.0,59.0,62.0,30.0,22.0,23.0,5.688,0.0,0.0,0.0,20.0,21.0,14.0,,,,49.0,47.0,46.0,,,
1990-03-05,0.0,0.0,0.0,55.0,66.0,39.0,34.0,42.0,13.0,5.707000000000001,0.0,0.0,0.0,30.0,22.0,23.0,,,,62.0,59.0,62.0,,,
1990-03-06,0.0,0.05,0.0,34.0,62.0,36.0,30.0,43.0,14.0,5.778,0.0,0.0,0.0,34.0,42.0,13.0,,,,55.0,66.0,39.0,,,
1990-03-07,0.0,0.0,0.0,32.0,50.0,36.0,28.0,38.0,15.0,5.767,0.0,0.05,0.0,30.0,43.0,14.0,,,,34.0,62.0,36.0,,,
1990-03-08,0.73,0.09,0.13,60.0,59.0,31.0,32.0,39.0,25.0,5.815,0.0,0.0,0.0,28.0,38.0,15.0,,,,32.0,50.0,36.0,,,
1990-03-09,0.0,0.0,0.0,71.0,77.0,34.0,32.0,45.0,30.0,5.875,0.73,0.09,0.13,32.0,39.0,25.0,,,,60.0,59.0,31.0,,,
1990-03-12,1.53,0.36,0.73,78.0,79.0,54.0,56.0,67.0,42.0,5.827000000000001,0.0,0.0,0.0,32.0,45.0,30.0,,,,71.0,77.0,34.0,,,
1990-03-13,0.18,0.0,0.0,73.0,78.0,65.0,57.0,61.0,32.0,5.785,1.53,0.36,0.73,56.0,67.0,42.0,,,,78.0,79.0,54.0,,,
1990-03-14,0.33,0.08,0.13,67.0,71.0,42.0,57.0,62.0,33.0,5.725,0.18,0.0,0.0,57.0,61.0,32.0,,,,73.0,78.0,65.0,,,
1990-03-15,0.68,0.05,0.0,57.0,70.0,45.0,36.0,53.0,29.0,5.86,0.33,0.08,0.13,57.0,62.0,33.0,,,,67.0,71.0,42.0,,,
1990-03-16,0.0,0.0,0.46,51.0,67.0,33.0,37.0,34.0,26.0,5.818,0.68,0.05,0.0,36.0,53.0,29.0,,,,57.0,70.0,45.0,,,
1990-03-19,0.0,0.0,0.0,35.0,41.0,22.0,18.0,30.0,4.0,5.9,0.0,0.0,0.46,37.0,34.0,26.0,,,,51.0,67.0,33.0,,,
1990-03-20,0.0,0.0,0.0,54.0,50.0,29.0,22.0,16.0,7.0,5.925,0.0,0.0,0.0,18.0,30.0,4.0,,,,35.0,41.0,22.0,,,
1990-03-21,0.0,0.0,0.0,66.0,66.0,40.0,42.0,31.0,24.0,5.92,0.0,0.0,0.0,22.0,16.0,7.0,,,,54.0,50.0,29.0,,,
1990-03-22,0.02,0.16,0.0,61.0,69.0,46.0,39.0,48.0,23.0,6.05,0.0,0.0,0.0,42.0,31.0,24.0,,,,66.0,66.0,40.0,,,
1990-03-23,0.06,0.0,0.0,39.0,60.0,27.0,20.0,29.0,6.0,5.98,0.02,0.16,0.0,39.0,48.0,23.0,,,,61.0,69.0,46.0,,,
1990-03-26,0.0,0.0,0.0,46.0,51.0,41.0,24.0,34.0,16.0,6.035,0.06,0.0,0.0,20.0,29.0,6.0,,,,39.0,60.0,27.0,,,
1990-03-27,0.0,0.0,0.0,53.0,56.0,37.0,22.0,22.0,18.0,6.002999999999999,0.0,0.0,0.0,24.0,34.0,16.0,,,,46.0,51.0,41.0,,,
1990-03-28,0.0,0.0,0.0,49.0,54.0,56.0,38.0,36.0,29.0,5.8870000000000005,0.0,0.0,0.0,22.0,22.0,18.0,,,,53.0,56.0,37.0,,,
1990-03-29,0.42,0.75,0.0,40.0,57.0,50.0,36.0,36.0,30.0,5.895,0.0,0.0,0.0,38.0,36.0,29.0,,,,49.0,54.0,56.0,,,
1990-03-30,0.05,0.7,0.0,42.0,56.0,54.0,37.0,45.0,30.0,5.95,0.42,0.75,0.0,36.0,36.0,30.0,,,,40.0,57.0,50.0,,,
1990-04-02,0.02,0.0,0.0,51.0,44.0,43.0,32.0,38.0,23.0,5.85,0.05,0.7,0.0,37.0,45.0,30.0,,,,42.0,56.0,54.0,,,
1990-04-03,0.0,0.0,0.0,53.0,44.0,44.0,24.0,29.0,24.0,5.86,0.02,0.0,0.0,32.0,38.0,23.0,,,,51.0,44.0,43.0,,,
1990-04-04,0.02,0.0,0.0,61.0,69.0,59.0,37.0,28.0,25.0,5.91,0.0,0.0,0.0,24.0,29.0,24.0,,,,53.0,44.0,44.0,,,
1990-04-05,0.0,0.0,0.0,58.0,67.0,53.0,34.0,32.0,17.0,5.965,0.02,0.0,0.0,37.0,28.0,25.0,,,,61.0,69.0,59.0,,,
1990-04-06,0.0,0.0,0.0,43.0,78.0,36.0,23.0,27.0,14.0,5.955,0.0,0.0,0.0,34.0,32.0,17.0,,,,58.0,67.0,53.0,,,
1990-04-09,0.05,0.0,0.0,65.0,64.0,59.0,45.0,47.0,32.0,5.917999999999999,0.0,0.0,0.0,23.0,27.0,14.0,,,,43.0,78.0,36.0,,,
1990-04-10,0.1,1.47,0.0,54.0,63.0,48.0,36.0,47.0,29.0,5.91,0.05,0.0,0.0,45.0,47.0,32.0,,,,65.0,64.0,59.0,,,
1990-04-11,0.0,0.0,0.0,42.0,49.0,39.0,26.0,32.0,22.0,5.9270000000000005,0.1,1.47,0.0,36.0,47.0,29.0,,,,54.0,63.0,48.0,,,
1990-04-12,0.0,0.0,0.01,52.0,54.0,37.0,20.0,25.0,17.0,5.867000000000001,0.0,0.0,0.0,26.0,32.0,22.0,,,,42.0,49.0,39.0,,,
1990-04-16,0.04,0.0,0.08,60.0,66.0,62.0,37.0,44.0,24.0,5.91,0.0,0.0,0.01,20.0,25.0,17.0,,,,52.0,54.0,37.0,,,
1990-04-17,0.01,0.27,0.07,50.0,67.0,40.0,30.0,39.0,19.0,5.965,0.04,0.0,0.08,37.0,44.0,24.0,,,,60.0,66.0,62.0,,,
1990-04-18,0.06,0.0,0.0,57.0,56.0,52.0,29.0,30.0,21.0,5.943,0.01,0.27,0.07,30.0,39.0,19.0,,,,50.0,67.0,40.0,,,
1990-04-19,0.0,0.05,0.0,62.0,56.0,63.0,29.0,41.0,30.0,6.005,0.06,0.0,0.0,29.0,30.0,21.0,,,,57.0,56.0,52.0,,,
1990-04-20,0.08,0.49,0.0,70.0,70.0,71.0,50.0,41.0,39.0,6.047999999999999,0.0,0.05,0.0,29.0,41.0,30.0,,,,62.0,56.0,63.0,,,
1990-04-23,0.0,0.0,0.11,80.0,84.0,88.0,60.0,64.0,59.0,6.057,0.08,0.49,0.0,50.0,41.0,39.0,,,,70.0,70.0,71.0,,,
1990-04-24,0.0,0.0,0.33,80.0,85.0,85.0,60.0,60.0,60.0,5.985,0.0,0.0,0.11,60.0,64.0,59.0,,,,80.0,84.0,88.0,,,
1990-04-25,0.0,0.0,0.03,81.0,85.0,81.0,64.0,62.0,60.0,6.093,0.0,0.0,0.33,60.0,60.0,60.0,,,,80.0,85.0,85.0,,,
1990-04-26,0.0,0.0,0.03,78.0,83.0,82.0,64.0,59.0,54.0,6.2620000000000005,0.0,0.0,0.03,64.0,62.0,60.0,,,,81.0,85.0,81.0,,,
1990-04-27,0.74,0.0,0.01,66.0,82.0,66.0,59.0,66.0,37.0,6.35,0.0,0.0,0.03,64.0,59.0,54.0,,,,78.0,83.0,82.0,,,
1990-04-30,0.0,0.0,0.17,56.0,64.0,34.0,32.0,47.0,22.0,6.325,0.74,0.0,0.01,59.0,66.0,37.0,,,,66.0,82.0,66.0,,,
1990-05-01,0.0,0.09,0.0,56.0,65.0,40.0,36.0,47.0,27.0,6.275,0.0,0.0,0.17,32.0,47.0,22.0,,,,56.0,64.0,34.0,,,
1990-05-02,0.0,0.0,0.01,64.0,65.0,44.0,35.0,60.0,29.0,6.365,0.0,0.09,0.0,36.0,47.0,27.0,,,,56.0,65.0,40.0,,,
1990-05-03,0.0,1.51,0.0,63.0,61.0,65.0,47.0,47.0,33.0,6.297999999999999,0.0,0.0,0.01,35.0,60.0,29.0,,,,64.0,65.0,44.0,,,
1990-05-04,1.04,0.04,0.0,51.0,75.0,72.0,45.0,57.0,41.0,6.265,0.0,1.51,0.0,47.0,47.0,33.0,,,,63.0,61.0,65.0,,,
1990-05-07,0.0,0.0,0.0,78.0,78.0,77.0,53.0,56.0,45.0,6.37,1.04,0.04,0.0,45.0,57.0,41.0,,,,51.0,75.0,72.0,,,
1990-05-08,0.0,0.0,0.06,76.0,78.0,90.0,60.0,56.0,50.0,6.335,0.0,0.0,0.0,53.0,56.0,45.0,,,,78.0,78.0,77.0,,,
1990-05-09,0.0,0.0,0.0,73.0,74.0,70.0,49.0,53.0,47.0,6.468,0.0,0.0,0.06,60.0,56.0,50.0,,,,76.0,78.0,90.0,,,
1990-05-10,0.6,0.4,0.0,57.0,71.0,51.0,38.0,53.0,28.0,6.48,0.0,0.0,0.0,49.0,53.0,47.0,,,,73.0,74.0,70.0,,,
1990-05-11,0.0,0.0,0.0,64.0,68.0,60.0,40.0,36.0,32.0,6.32,0.6,0.4,0.0,38.0,53.0,28.0,,,,57.0,71.0,51.0,,,
1990-05-14,0.0,0.0,0.17,74.0,71.0,67.0,52.0,53.0,51.0,6.235,0.0,0.0,0.0,40.0,36.0,32.0,,,,64.0,68.0,60.0,,,
1990-05-15,0.0,0.36,0.0,72.0,73.0,63.0,51.0,63.0,48.0,6.132999999999999,0.0,0.0,0.17,52.0,53.0,51.0,,,,74.0,71.0,67.0,,,
1990-05-16,1.12,3.15,0.33,68.0,76.0,55.0,59.0,61.0,48.0,6.13,0.0,0.36,0.0,51.0,63.0,48.0,,,,72.0,73.0,63.0,,,
1990-05-17,0.0,1.71,0.03,68.0,72.0,57.0,48.0,50.0,39.0,6.17,1.12,3.15,0.33,59.0,61.0,48.0,,,,68.0,76.0,55.0,,,
1990-05-18,0.0,0.0,0.0,78.0,77.0,58.0,44.0,46.0,34.0,6.095,0.0,1.71,0.03,48.0,50.0,39.0,,,,68.0,72.0,57.0,,,
1990-05-21,0.0,0.0,0.0,55.0,57.0,65.0,48.0,54.0,44.0,6.045,0.0,0.0,0.0,44.0,46.0,34.0,,,,78.0,77.0,58.0,,,
1990-05-22,0.0,0.0,0.0,69.0,66.0,63.0,42.0,52.0,46.0,6.09,0.0,0.0,0.0,48.0,54.0,44.0,,,,55.0,57.0,65.0,,,
1990-05-23,0.04,0.0,0.2,68.0,71.0,80.0,52.0,43.0,47.0,6.087999999999999,0.0,0.0,0.0,42.0,52.0,46.0,,,,69.0,66.0,63.0,,,
1990-05-24,0.31,0.0,0.0,68.0,74.0,71.0,53.0,51.0,52.0,6.155,0.04,0.0,0.2,52.0,43.0,47.0,,,,68.0,71.0,80.0,,,
1990-05-25,2.01,0.65,0.0,70.0,80.0,76.0,57.0,60.0,54.0,6.19,0.31,0.0,0.0,53.0,51.0,52.0,,,,68.0,74.0,71.0,,,
1990-05-29,0.14,0.0,0.0,76.0,79.0,80.0,50.0,63.0,49.0,6.06,2.01,0.65,0.0,57.0,60.0,54.0,,,,70.0,80.0,76.0,,,
1990-05-30,0.0,0.0,0.0,74.0,78.0,74.0,51.0,53.0,45.0,6.0520000000000005,0.14,0.0,0.0,50.0,63.0,49.0,,,,76.0,79.0,80.0,,,
1990-05-31,0.0,0.0,0.0,71.0,77.0,78.0,48.0,52.0,49.0,6.0729999999999995,0.0,0.0,0.0,51.0,53.0,45.0,,,,74.0,78.0,74.0,,,
1990-06-01,0.0,0.0,0.0,81.0,86.0,76.0,59.0,60.0,55.0,6.02,0.0,0.0,0.0,48.0,52.0,49.0,,,,71.0,77.0,78.0,,,
1990-06-04,0.0,0.0,0.02,66.0,59.0,55.0,47.0,52.0,37.0,5.9270000000000005,0.0,0.0,0.0,59.0,60.0,55.0,,,,81.0,86.0,76.0,,,
1990-06-05,0.0,0.0,0.38,66.0,72.0,67.0,64.0,43.0,46.0,5.9270000000000005,0.0,0.0,0.02,47.0,52.0,37.0,,,,66.0,59.0,55.0,,,
1990-06-06,0.18,1.07,0.0,79.0,73.0,72.0,53.0,70.0,50.0,5.94,0.0,0.0,0.38,64.0,43.0,46.0,,,,66.0,72.0,67.0,,,
1990-06-07,0.0,0.78,0.0,79.0,83.0,74.0,50.0,62.0,47.0,6.028,0.18,1.07,0.0,53.0,70.0,50.0,,,,79.0,73.0,72.0,,,
1990-06-08,0.37,0.08,0.05,79.0,90.0,68.0,61.0,68.0,52.0,6.0,0.0,0.78,0.0,50.0,62.0,47.0,,,,79.0,83.0,74.0,,,
1990-06-11,0.0,0.0,0.52,82.0,83.0,91.0,65.0,56.0,63.0,6.082000000000001,0.37,0.08,0.05,61.0,68.0,52.0,,,,79.0,90.0,68.0,,,
1990-06-12,0.0,0.0,0.06,88.0,86.0,80.0,72.0,62.0,63.0,6.075,0.0,0.0,0.52,65.0,56.0,63.0,,,,82.0,83.0,91.0,,,
1990-06-13,0.0,0.0,0.05,86.0,91.0,84.0,73.0,62.0,63.0,6.06,0.0,0.0,0.06,72.0,62.0,63.0,,,,88.0,86.0,80.0,,,
1990-06-14,0.95,0.03,0.0,82.0,91.0,81.0,65.0,71.0,50.0,5.912000000000001,0.0,0.0,0.05,73.0,62.0,63.0,,,,86.0,91.0,84.0,,,
1990-06-15,0.0,0.0,0.08,80.0,90.0,74.0,66.0,64.0,57.0,5.86,0.95,0.03,0.0,65.0,71.0,50.0,,,,82.0,91.0,81.0,,,
