DATE,Settlement Price,IA_TMIN_lag_72,IL_TMIN_lag_72,MN_TMIN_lag_72,IA_TMAX_lag_72,IL_TMAX_lag_72,MN_TMAX_lag_72
1990-01-02,5.613,,,,,,
1990-01-03,5.672999999999999,,,,,,
1990-01-04,5.632999999999999,,,,,,
1990-01-05,5.645,,,,,,
1990-01-08,5.707000000000002,,,,,,
1990-01-09,5.705,,,,,,
1990-01-10,5.672999999999999,,,,,,
1990-01-11,5.698,,,,,,
1990-01-12,5.655,,,,,,
1990-01-15,5.64,,,,,,
1990-01-16,5.58,,,,,,
1990-01-17,5.575,,,,,,
1990-01-18,5.608,,,,,,
1990-01-19,5.58,,,,,,
1990-01-22,5.545,,,,,,
1990-01-23,5.672999999999999,,,,,,
1990-01-24,5.66,,,,,,
1990-01-25,5.582000000000002,,,,,,
1990-01-26,5.585,,,,,,
1990-01-29,5.635,,,,,,
1990-01-30,5.585,,,,,,
1990-01-31,5.61,,,,,,
1990-02-01,5.597,,,,,,
1990-02-02,5.602,,,,,,
1990-02-05,5.582000000000002,,,,,,
1990-02-06,5.627999999999999,,,,,,
1990-02-07,5.6770000000000005,,,,,,
1990-02-08,5.648,,,,,,
1990-02-09,5.667999999999998,,,,,,
1990-02-12,5.653,,,,,,
1990-02-13,5.64,,,,,,
1990-02-14,5.667999999999998,,,,,,
1990-02-15,5.71,,,,,,
1990-02-16,5.698,,,,,,
1990-02-20,5.662000000000001,,,,,,
1990-02-21,5.71,,,,,,
1990-02-22,5.68,,,,,,
1990-02-23,5.653,,,,,,
1990-02-26,5.617000000000001,,,,,,
1990-02-27,5.615,,,,,,
1990-02-28,5.665,,,,,,
1990-03-01,5.672999999999999,,,,,,
1990-03-02,5.688,,,,,,
1990-03-05,5.707000000000002,,,,,,
1990-03-06,5.778,,,,,,
1990-03-07,5.767,,,,,,
1990-03-08,5.815,,,,,,
1990-03-09,5.875,,,,,,
1990-03-12,5.827000000000001,,,,,,
1990-03-13,5.785,,,,,,
1990-03-14,5.725,,,,,,
1990-03-15,5.86,,,,,,
1990-03-16,5.818,,,,,,
1990-03-19,5.9,,,,,,
1990-03-20,5.925,,,,,,
1990-03-21,5.92,,,,,,
1990-03-22,6.05,,,,,,
1990-03-23,5.98,,,,,,
1990-03-26,6.035,,,,,,
1990-03-27,6.002999999999999,,,,,,
1990-03-28,5.8870000000000005,,,,,,
1990-03-29,5.895,,,,,,
1990-03-30,5.95,,,,,,
1990-04-02,5.85,,,,,,
1990-04-03,5.86,,,,,,
1990-04-04,5.91,,,,,,
1990-04-05,5.965,,,,,,
1990-04-06,5.955,,,,,,
1990-04-09,5.917999999999998,,,,,,
1990-04-10,5.91,,,,,,
1990-04-11,5.9270000000000005,,,,,,
1990-04-12,5.867000000000001,,,,,,
1990-04-16,5.91,28.0,25.0,1.0,49.0,45.0,27.0
1990-04-17,5.965,35.0,32.0,19.0,45.0,49.0,32.0
1990-04-18,5.943,21.0,32.0,1.0,42.0,47.0,26.0
1990-04-19,6.005,18.0,16.0,11.0,40.0,38.0,20.0
1990-04-20,6.047999999999999,31.0,21.0,16.0,43.0,50.0,40.0
1990-04-23,6.057,34.0,46.0,22.0,47.0,55.0,42.0
1990-04-24,5.985,23.0,27.0,17.0,53.0,53.0,30.0
1990-04-25,6.093,33.0,32.0,29.0,46.0,52.0,50.0
1990-04-26,6.2620000000000005,20.0,32.0,9.0,34.0,48.0,30.0
1990-04-27,6.35,29.0,38.0,19.0,59.0,58.0,41.0
1990-04-30,6.325,38.0,53.0,16.0,61.0,68.0,36.0
1990-05-01,6.275,32.0,53.0,16.0,59.0,64.0,33.0
1990-05-02,6.365,28.0,35.0,13.0,35.0,57.0,26.0
1990-05-03,6.297999999999999,19.0,30.0,11.0,32.0,38.0,26.0
1990-05-04,6.265,28.0,39.0,17.0,48.0,61.0,38.0
1990-05-07,6.37,29.0,30.0,27.0,53.0,64.0,37.0
1990-05-08,6.335,28.0,29.0,28.0,47.0,65.0,38.0
1990-05-09,6.468,21.0,34.0,15.0,32.0,61.0,32.0
1990-05-10,6.48,14.0,24.0,13.0,43.0,53.0,27.0
1990-05-11,6.32,24.0,28.0,14.0,46.0,51.0,43.0
1990-05-14,6.235,24.0,33.0,-4.0,46.0,56.0,45.0
1990-05-15,6.132999999999999,14.0,21.0,-4.0,55.0,58.0,15.0
1990-05-16,6.13,23.0,46.0,-8.0,51.0,56.0,24.0
1990-05-17,6.17,20.0,38.0,-7.0,28.0,48.0,4.0
